noise,method,medMSE_vs_input,meanMSE_vs_input,medMSE_vs_clean,meanMSE_vs_clean,oor_A,oor_w0,oor_Q,oor_phi_raw,oor_phi_wrapped,oor_any
0,LSQF,0.034199,0.034454,0.034199,0.034454,0.00000,0.03345,0.03684,0.00000,0.00000,0.03697
0,NN_clean_zeroshot,0.033677,0.033860,0.033677,0.033860,0.00000,0.00000,0.00000,0.27020,0.00000,0.00000
0,NN_matched_Adam,0.033637,0.033803,0.033637,0.033803,0.00000,0.00004,0.00000,0.26566,0.00000,0.00004
0,NN_matched_TRCG,0.033360,0.033514,0.033360,0.033514,0.00000,0.00005,0.00000,0.27707,0.00000,0.00005
1,LSQF,0.718989,0.728406,0.062025,0.076268,0.00072,0.16502,0.20747,0.00000,0.00000,0.20871
1,NN_clean_zeroshot,0.703830,0.704639,0.045153,0.048987,0.00000,0.00060,0.00000,0.41336,0.00000,0.00061
1,NN_matched_Adam,0.693043,0.693381,0.040182,0.041184,0.00000,0.00006,0.00334,0.28021,0.00000,0.00340
1,NN_matched_TRCG,0.692747,0.693081,0.040329,0.041321,0.00001,0.00017,0.01589,0.28228,0.00000,0.01605
2,LSQF,2.849239,2.907502,0.202504,0.286718,0.01744,0.40778,0.48319,0.00000,0.00000,0.50226
2,NN_clean_zeroshot,2.805999,2.825152,0.161322,0.201913,0.00002,0.00627,0.00000,0.54114,0.00000,0.00630
2,NN_matched_Adam,2.670623,2.671483,0.059749,0.064658,0.00012,0.00083,0.09079,0.27186,0.00000,0.09166
2,NN_matched_TRCG,2.670527,2.671389,0.059666,0.064772,0.00026,0.00097,0.10192,0.27733,0.00000,0.10303
3,LSQF,6.640699,6.725600,0.641923,0.795158,0.05148,0.70451,0.75881,0.00000,0.00000,0.81154
3,NN_clean_zeroshot,6.696839,6.778819,0.747953,0.850416,0.02090,0.01155,0.00000,0.49991,0.00000,0.03245
3,NN_matched_Adam,5.965264,5.967433,0.094284,0.105754,0.00149,0.00443,0.18798,0.28354,0.00000,0.19337
3,NN_matched_TRCG,5.965777,5.968020,0.096425,0.108362,0.00103,0.00607,0.21073,0.27010,0.00000,0.21696
4,LSQF,11.986225,12.049115,1.312935,1.429424,0.02840,0.91881,0.93961,0.00000,0.00000,0.96821
4,NN_clean_zeroshot,12.218445,12.325787,1.605299,1.742117,0.22330,0.06996,0.00000,0.36449,0.00000,0.29326
4,NN_matched_Adam,10.575857,10.579457,0.147353,0.167716,0.00428,0.01307,0.29378,0.28082,0.00000,0.30854
4,NN_matched_TRCG,10.577174,10.580863,0.144069,0.164488,0.00363,0.01250,0.29315,0.27056,0.00000,0.30668
5,LSQF,18.503383,18.573275,1.798569,1.913950,0.00652,0.98688,0.99134,0.00000,0.00000,0.99771
5,NN_clean_zeroshot,19.032345,19.145835,2.420095,2.562512,0.32615,0.33299,0.00000,0.18628,0.00000,0.65914
5,NN_matched_Adam,16.504345,16.509905,0.213781,0.245839,0.01236,0.03219,0.35465,0.26420,0.00000,0.39172
5,NN_matched_TRCG,16.506616,16.512261,0.212612,0.245270,0.01313,0.03048,0.35530,0.28185,0.00000,0.39215
6,LSQF,26.292541,26.357814,2.227577,2.345849,0.00094,0.99846,0.99915,0.00000,0.00000,0.99995
6,NN_clean_zeroshot,27.064340,27.163313,3.172025,3.247750,0.36607,0.42893,0.00000,0.04837,0.00000,0.79500
6,NN_matched_Adam,23.747603,23.754511,0.310606,0.355390,0.02556,0.04739,0.46146,0.27365,0.00000,0.51896
6,NN_matched_TRCG,23.756812,23.763714,0.310309,0.357209,0.02560,0.04241,0.43503,0.27463,0.00000,0.49052
7,LSQF,35.449527,35.513597,2.706040,2.824090,0.00012,0.99984,0.99992,0.00000,0.00000,1.00000
7,NN_clean_zeroshot,36.295767,36.377331,3.771664,3.803091,0.40482,0.44166,0.00000,0.00649,0.00000,0.84647
7,NN_matched_Adam,32.309564,32.318456,0.411511,0.473071,0.04250,0.06197,0.47749,0.26875,0.00000,0.56234
7,NN_matched_TRCG,32.326162,32.335371,0.433774,0.503046,0.04038,0.06611,0.47880,0.28020,0.00000,0.56140
8,LSQF,46.003100,46.064910,3.253290,3.371407,0.00002,0.99998,0.99999,0.00000,0.00000,1.00000
8,NN_clean_zeroshot,46.766303,46.833126,4.266301,4.279667,0.45368,0.43540,0.00000,0.00126,0.00000,0.88868
8,NN_matched_Adam,42.185625,42.197232,0.539958,0.620401,0.05527,0.07370,0.51958,0.28427,0.00000,0.62192
8,NN_matched_TRCG,42.195757,42.207118,0.511290,0.593385,0.05953,0.06336,0.49084,0.27867,0.00000,0.59301
